sample_id	GEO_sample_id	GEO_accession	cell_type	cell_description	donor	SRA_accession	run_id
HSC_2596_1	Donor2596-HSC-1A-150303	GSM1937416	HSC	hematopoietic stem cell	2596	SRX1427829	SRR2920506
HSC_2596_2	Donor2596-HSC-1B-150303	GSM1937417	HSC	hematopoietic stem cell	2596	SRX1427830	SRR2920507
HSC_7256_1	Donor7256-1A-110614	GSM1937441	HSC	hematopoietic stem cell	7256	SRX1427854	SRR2920531
HSC_7256_2	Donor7256-1B-110614	GSM1937442	HSC	hematopoietic stem cell	7256	SRX1427855	SRR2920532
LMPP_4983_1	4983-3A	GSM1937378	LMPP	lymphoid-primed multipotent progenitor cell	4983	SRX1427791	SRR2920468
LMPP_6792_1	6792-3A	GSM1937390	LMPP	lymphoid-primed multipotent progenitor cell	6792	SRX1427803	SRR2920480
LMPP_7256_1	Donor7256-3A-141106	GSM1937445	LMPP	lymphoid-primed multipotent progenitor cell	7256	SRX1427858	SRR2920535
MEP_4983_1	4983-6A	GSM1937383	MEP	megakaryocyte erythroid progenitor cell	4983	SRX1427796	SRR2920473
MEP_4983_2	4983-6B	GSM1937384	MEP	megakaryocyte erythroid progenitor cell	4983	SRX1427797	SRR2920474
MEP_6792_1	6792-6A	GSM1937395	MEP	megakaryocyte erythroid progenitor cell	6792	SRX1427808	SRR2920485
MEP_6792_2	6792-6B	GSM1937396	MEP	megakaryocyte erythroid progenitor cell	6792	SRX1427809	SRR2920486
MEP_2596_1	Donor2596-MEP-6A-150303	GSM1937418	MEP	megakaryocyte erythroid progenitor cell	2596	SRX1427831	SRR2920508
MEP_7256_1	Donor7256-6A-141106	GSM1937450	MEP	megakaryocyte erythroid progenitor cell	7256	SRX1427863	SRR2920540
MEP_7256_2	Donor7256-6B-141106	GSM1937451	MEP	megakaryocyte erythroid progenitor cell	7256	SRX1427864	SRR2920541
Mono_4983_1	4983-7A	GSM1937385	Mono	CD14+ monocyte cell	4983	SRX1427798	SRR2920475
Mono_4983_2	4983-7B	GSM1937386	Mono	CD14+ monocyte cell	4983	SRX1427799	SRR2920476
Mono_6792_1	6792-7A	GSM1937397	Mono	CD14+ monocyte cell	6792	SRX1427810	SRR2920487
Mono_6792_2	6792-7B	GSM1937398	Mono	CD14+ monocyte cell	6792	SRX1427811	SRR2920488
Mono_7256_1	Donor7256-7A-141106	GSM1937452	Mono	CD14+ monocyte cell	7256	SRX1427865	SRR2920542
Mono_7256_2	Donor7256-7B-141106	GSM1937453	Mono	CD14+ monocyte cell	7256	SRX1427866	SRR2920543
MPP_4983_1	4983-2A	GSM1937377	MPP	multipotent progenitor cell	4983	SRX1427790	SRR2920467
MPP_6792_1	6792-2A	GSM1937389	MPP	multipotent progenitor cell	6792	SRX1427802	SRR2920479
MPP_2596_1	Donor2596-MPP-2A-150303	GSM1937419	MPP	multipotent progenitor cell	2596	SRX1427832	SRR2920509
MPP_2596_2	Donor2596-MPP-2B-150303	GSM1937420	MPP	multipotent progenitor cell	2596	SRX1427833	SRR2920510
MPP_7256_1	Donor7256-2A-110614	GSM1937443	MPP	multipotent progenitor cell	7256	SRX1427856	SRR2920533
MPP_7256_2	Donor7256-2B-110614	GSM1937444	MPP	multipotent progenitor cell	7256	SRX1427857	SRR2920534
NK_1022_1	Donor1022-Nkcell-11-150120	GSM1937405	NK	CD56+ natural killer cell	1022	SRX1427818	SRR2920495
NK_2596_1	Donor2596-NK-11B-150303	GSM1937421	NK	CD56+ natural killer cell	2596	SRX1427834	SRR2920511
NK_2596_2	Donor2596-Nkcell-11A-150303	GSM1937422	NK	CD56+ natural killer cell	2596	SRX1427835	SRR2920512
NK_4983_1	Donor4983-Nkcell-11A-150120	GSM1937426	NK	CD56+ natural killer cell	4983	SRX1427839	SRR2920516
NK_5483_1	Donor5483-NK-11A-150305	GSM1937436	NK	CD56+ natural killer cell	5483	SRX1427849	SRR2920526
NK_5483_2	Donor5483-Nkcell-11B-150305	GSM1937437	NK	CD56+ natural killer cell	5483	SRX1427850	SRR2920527
